company	legal_name	industry	ats	board_url	api_url	h1b_known	notes
Snowflake	Snowflake Inc.	AI-native and Enterprise SaaS	ashby	https://jobs.ashbyhq.com/snowflake	https://api.ashbyhq.com/posting-api/job-board/snowflake?includeCompensation=true	unchecked	
TogetherAI	?	AI-native and Enterprise SaaS	greenhouse	https://boards.greenhouse.io/togetherai	https://boards-api.greenhouse.io/v1/boards/togetherai/jobs	unchecked	
Turing	?	India Venture-backed Startups (Series A-D)	greenhouse	https://boards.greenhouse.io/turing	https://boards-api.greenhouse.io/v1/boards/turing/jobs	n/a	
Unacademy	Sorting Hat Technologies Private Limited	India Venture-backed Startups (Series A-D)	smartrecruiters	https://jobs.smartrecruiters.com/unacademy		n/a	
Vanta	Vanta Inc.	AI-native and Enterprise SaaS	ashby	https://jobs.ashbyhq.com/vanta	https://api.ashbyhq.com/posting-api/job-board/vanta?includeCompensation=true	unchecked	
Vendavo	?	Revenue, GTM and Pricing Software	lever	https://jobs.lever.co/vendavo	https://api.lever.co/v0/postings/vendavo?mode=json	unchecked	
Vercel	Vercel Inc.	AI-native and Enterprise SaaS	greenhouse	https://boards.greenhouse.io/vercel	https://boards-api.greenhouse.io/v1/boards/vercel/jobs	unchecked	
Vitally	?	Revenue, GTM and Pricing Software	ashby	https://jobs.ashbyhq.com/vitally	https://api.ashbyhq.com/posting-api/job-board/vitally?includeCompensation=true	unchecked	
Whatfix	Whatfix, Inc.	India Venture-backed Startups (Series A-D)	smartrecruiters	https://jobs.smartrecruiters.com/whatfix		n/a	
Workato	Workato, Inc.	Revenue, GTM and Pricing Software	greenhouse	https://boards.greenhouse.io/workato	https://boards-api.greenhouse.io/v1/boards/workato/jobs	unchecked	
WorkOS	?	AI-native and Enterprise SaaS	ashby	https://jobs.ashbyhq.com/workos	https://api.ashbyhq.com/posting-api/job-board/workos?includeCompensation=true	unchecked	
Writer	?	AI-native and Enterprise SaaS	ashby	https://jobs.ashbyhq.com/writer	https://api.ashbyhq.com/posting-api/job-board/writer?includeCompensation=true	unchecked	
Zapier	Zapier Inc.	Revenue, GTM and Pricing Software	ashby	https://jobs.ashbyhq.com/zapier	https://api.ashbyhq.com/posting-api/job-board/zapier?includeCompensation=true	unchecked	
