rank_score	role_family	company	title	location	url	age_days	sponsorship_hint	salary	sources	seen_company	pack_incomplete	rank_notes	track	visa_gate
50	marketing	Databricks	Sr. Industry Marketing Manager, Startups	United States	https://databricks.com/company/careers/open-positions/job?gh_jid=8638650002	18.5			board:greenhouse			role:marketing,industry:India Venture-backed Startups (Series A-D)	us	required
50	product	Databricks	Sr. Product Manager, Databricks AI	San Francisco, California	https://databricks.com/company/careers/open-positions/job?gh_jid=8136071002	18.5			board:greenhouse			role:product,industry:AI-native and Enterprise SaaS	us	required
50	product	Databricks	Staff Product Manager, Agentic AI Applications	Mountain View, California; San Francisco, California	https://databricks.com/company/careers/open-positions/job?gh_jid=8560772002	18.5			board:greenhouse			role:product,industry:AI-native and Enterprise SaaS	us	required
49	founders_office	Atomgrid	Founder's Office Associates	Bangalore, India	https://www.instahyre.com/job-325538-founders-office-associates-at-atomgrid-bangalore/				websearch-agent			role:founders_office	india	not-applicable
49	founders_office	RupiCard	Founder's Office	Bangalore, India	https://www.instahyre.com/job-310199-founders-office-at-rupicard-bangalore/				websearch-agent			role:founders_office	india	not-applicable
49	founders_office	Swish Club	Member (Founders Office)	Bangalore, India	https://www.instahyre.com/job-320804-member-founders-office-at-swish-club-bangalore/				websearch-agent			role:founders_office	india	not-applicable
49	founders_office	Lokal	Strategy & Ops (Founder's Office)	Bangalore, India	https://www.instahyre.com/job-201511-strategy-ops-founders-office-at-lokal-bangalore/				websearch-agent			role:founders_office	india	not-applicable
49	founders_office	Leap Finance	Founder's Office	Bangalore, India	https://www.instahyre.com/job-116160-founders-office-at-leap-finance-bangalore/				websearch-agent			role:founders_office	india	not-applicable
49	founders_office	Flam	Founder's Office	Bangalore, India	https://www.instahyre.com/job-148431-founders-office-at-flam-bangalore/				websearch-agent			role:founders_office	india	not-applicable
49	founders_office	Gushwork	Growth - Founder's Office	Bangalore, India	https://www.instahyre.com/job-394118-growth-founders-office-at-gushwork-bangalore/				websearch-agent	yes-check-tracker-row-first		role:founders_office	india	not-applicable
49	founders_office	YCreator	Associate - Founder's Office	Bangalore, India	https://www.instahyre.com/job-230095-associate-founders-office-at-ycreator-bangalore/				websearch-agent			role:founders_office	india	not-applicable
