company	title	url	drop_reason
CaptivateIQ	Senior Product Marketing Manager	https://jobs.lever.co/captivateiq/ec2db847-c98b-4aa8-b7a1-8b02b181cb3c	over-experience-cap (7y stated, US cap 6)
CaptivateIQ	Staff Product Manager - CIA	https://jobs.lever.co/captivateiq/47af968b-147f-4953-9b42-6d8862d40983	over-experience-cap (8y stated, US cap 6)
Google	Senior Product Marketing Manager, Fitbit Accessories and Special Editions	https://www.linkedin.com/jobs/view/4467632068	over-experience-cap (9y stated, US cap 6)
Google	Senior Product Marketing Manager, Fitbit Accessories and Special Editions	https://www.linkedin.com/jobs/view/4467622763	over-experience-cap (9y stated, US cap 6, duplicate location of same req)
LaunchDarkly	Senior Growth Marketing Analyst	https://job-boards.greenhouse.io/launchdarkly/jobs/7992914003	over-experience-cap (8-10y stated, US cap 6)
LaunchDarkly	Staff Product Manager - Data Products	https://job-boards.greenhouse.io/launchdarkly/jobs/7866054003	over-experience-cap (8y stated, US cap 6)
Mercury	Product Marketing Lead - Growth & Revenue	https://job-boards.greenhouse.io/mercury/jobs/6013499004	over-experience-cap (10y stated, US cap 6)
Model N	Manager, Government Pricing	https://jobs.lever.co/modeln/b7127d01-a86a-41a2-aef0-25e4c05896c6	over-experience-cap (8y stated, US cap 6)
Verkada	Lead Product Manager, New Alarms Product	https://www.linkedin.com/jobs/view/4366217729	over-experience-cap (8y stated, US cap 6)
