source	sources	company	title	location	url	posted_ts	age_days	sponsorship_hint	salary	category
board:ashby	board:ashby	Socure	Growth Product Manager, Socure Launch	Hub - San Francisco	https://jobs.ashbyhq.com/socure/4a89af18-b762-4a61-8035-db1168505401	2026-09-03	17.5			
board:ashby	board:ashby	Socure	Senior Product Manager, Watchlist	Hub - San Francisco	https://jobs.ashbyhq.com/socure/055da1d9-4664-4921-9787-642b34465bba	2026-09-14	6.5			
board:ashby	board:ashby	Poshmark	Senior Growth Product Manager	US California (Redwood City) - Office	https://jobs.ashbyhq.com/poshmark/58c2af50-fb51-4c76-80fd-67d0c5b489b3	2026-04-09	164.5			
board:ashby	board:ashby	Poshmark	Growth Product Manager, Marketing Technology	US California (Redwood City) - Office	https://jobs.ashbyhq.com/poshmark/c36f4395-9da7-4a77-adfd-9abd9e579cf2	2026-06-03	109.5			
board:ashby	board:ashby	Poshmark	Product Manager - Lifecycle	US California (Redwood City) - Office	https://jobs.ashbyhq.com/poshmark/5cd2854e-c1aa-4d3c-a2df-8e68902bd61e	2026-06-11	101.5			
board:ashby	board:ashby	Poshmark	Sr. Manager, Product Marketing	US California (Redwood City) - Office	https://jobs.ashbyhq.com/poshmark/4be405ab-82d2-4e35-84cb-022ec11d8f5c	2026-07-10	72.5			
board:ashby	board:ashby	Poshmark	Sr. Manager, Product Marketing (Posh Live)	US California (Redwood City) - Office	https://jobs.ashbyhq.com/poshmark/e0557a25-dde6-4b98-88cd-bc185f703452	2026-08-13	38.5			
board:greenhouse	board:greenhouse	Instacart	B2B Event Marketing Manager (6-Month Contract)	United States - Remote	https://instacart.careers/job/?gh_jid=8212434	2026-09-17	3.5			
board:greenhouse	board:greenhouse	Instacart	Growth Media Marketing Manager, Paid Search	Canada - Remote (ON, AB, BC, or NS Only)	https://instacart.careers/job/?gh_jid=8177972	2026-09-16	4.5			
board:greenhouse	board:greenhouse	Instacart	Senior Product Manager, Ads Quality	United States - Remote	https://instacart.careers/job/?gh_jid=8077510	2026-08-24	27.5			
board:greenhouse	board:greenhouse	Instacart	Senior Product Manager, Ads Quality	Canada - Remote (ON, AB, BC, or NS Only)	https://instacart.careers/job/?gh_jid=8077512	2026-08-24	27.5			
board:greenhouse	board:greenhouse	Instacart	Senior Product Manager, Advertiser Experience	United States - Remote	https://instacart.careers/job/?gh_jid=8120469	2026-09-09	11.5			
board:greenhouse	board:greenhouse	Instacart	Senior Product Manager, Advertiser Experience	Canada - Remote (ON, AB, BC, or NS Only)	https://instacart.careers/job/?gh_jid=8120471	2026-09-09	11.5			
board:greenhouse	board:greenhouse	Instacart	Senior Product Manager, AI Control Studio	Canada - Remote (ON, AB, BC, or NS Only)	https://instacart.careers/job/?gh_jid=8198161	2026-09-17	3.5			
board:greenhouse	board:greenhouse	Instacart	Senior Product Manager, AI Control Studio	United States - Remote	https://instacart.careers/job/?gh_jid=8198159	2026-09-17	3.5			
board:greenhouse	board:greenhouse	Instacart	Senior Product Manager, Catalog	Canada - Remote (ON, AB, BC, or NS Only)	https://instacart.careers/job/?gh_jid=8143272	2026-08-24	27.5			
board:greenhouse	board:greenhouse	Instacart	Senior Product Manager, Catalog	United States - Remote	https://instacart.careers/job/?gh_jid=8143270	2026-08-24	27.5			
